GHI,Festivo,Gas,PotenciaViento,Precios,Ano,Mes,Dia,Hora,GMT
114,1,16.93,18104,48.55,2016,1,1,0,1
114,1,16.93,19895,40,2016,1,1,1,1
114,1,16.93,21981,33.1,2016,1,1,2,1
114,1,16.93,25509,28.11,2016,1,1,3,1
114,1,16.93,30320,27.13,2016,1,1,4,1
114,1,16.93,34047,25.24,2016,1,1,5,1
114,1,16.93,36397,19.98,2016,1,1,6,1
122,1,16.93,38876,18.16,2016,1,1,7,1
144,1,16.93,41590,17.73,2016,1,1,8,1
1065,1,16.93,41429,19.77,2016,1,1,9,1
3238,1,16.93,45545,23.75,2016,1,1,10,1
6812,1,16.93,52274,26.03,2016,1,1,11,1
8939,1,16.93,57270,27.06,2016,1,1,12,1
9068,1,16.93,61835,26.59,2016,1,1,13,1
8558,1,16.93,66778,25,2016,1,1,14,1
7274,1,16.93,67503,20.06,2016,1,1,15,1
4629,1,16.93,69953,19.43,2016,1,1,16,1
1429,1,16.93,69384,24.57,2016,1,1,17,1
264,1,16.93,68686,33.11,2016,1,1,18,1
180,1,16.93,70349,35.34,2016,1,1,19,1
180,1,16.93,69610,33.07,2016,1,1,20,1
160,1,16.93,69745,29.52,2016,1,1,21,1
156,1,16.93,70928,30.1,2016,1,1,22,1
153,1,16.93,68660,24.57,2016,1,1,23,1
154,0,16.93,68907,22.2,2016,1,2,0,1
152,0,16.93,65330,16.57,2016,1,2,1,1
150,0,16.93,64478,15.35,2016,1,2,2,1
150,0,16.93,63785,12.77,2016,1,2,3,1
150,0,16.93,61689,11.27,2016,1,2,4,1
150,0,16.93,65841,11.91,2016,1,2,5,1
150,0,16.93,65198,12.62,2016,1,2,6,1
160,0,16.93,62939,14.17,2016,1,2,7,1
176,0,16.93,62613,17.73,2016,1,2,8,1
1628,0,16.93,62529,26.81,2016,1,2,9,1
6112,0,16.93,60991,35.4,2016,1,2,10,1
9095,0,16.93,61035,36.1,2016,1,2,11,1
10414,0,16.93,64982,30.34,2016,1,2,12,1
12757,0,16.93,68346,31.26,2016,1,2,13,1
13211,0,16.93,68080,30.99,2016,1,2,14,1
11516,0,16.93,65027,29,2016,1,2,15,1
7752,0,16.93,60001,32,2016,1,2,16,1
2708,0,16.93,54342,39.99,2016,1,2,17,1
493,0,16.93,50382,45.5,2016,1,2,18,1
440,0,16.93,49251,55.1,2016,1,2,19,1
321,0,16.93,45896,59,2016,1,2,20,1
160,0,16.93,43039,59.56,2016,1,2,21,1
156,0,16.93,42661,51.1,2016,1,2,22,1
155,1,16.93,45046,40.66,2016,1,2,23,1
156,1,16.83,52070,30.25,2016,1,3,0,1
156,1,16.83,57734,20.1,2016,1,3,1,1
144,1,16.83,61659,14.64,2016,1,3,2,1
120,1,16.83,62377,10.12,2016,1,3,3,1
120,1,16.83,63479,7.14,2016,1,3,4,1
120,1,16.83,64185,9.41,2016,1,3,5,1
120,1,16.83,64544,4.14,2016,1,3,6,1
122,1,16.83,66811,7.08,2016,1,3,7,1
136,1,16.83,71657,11.4,2016,1,3,8,1
751,1,16.83,74617,17.64,2016,1,3,9,1
2552,1,16.83,76261,19.99,2016,1,3,10,1
3878,1,16.83,77828,22.11,2016,1,3,11,1
4357,1,16.83,82878,22.68,2016,1,3,12,1
4348,1,16.83,86730,22,2016,1,3,13,1
3624,1,16.83,89173,19.89,2016,1,3,14,1
2859,1,16.83,91819,17.75,2016,1,3,15,1
1312,1,16.83,91873,18.76,2016,1,3,16,1
496,1,16.83,91810,21.8,2016,1,3,17,1
164,1,16.83,91671,26.76,2016,1,3,18,1
158,1,16.83,92596,27.23,2016,1,3,19,1
156,1,16.83,91371,25.33,2016,1,3,20,1
136,1,16.83,89778,23.65,2016,1,3,21,1
132,1,16.83,89502,22.57,2016,1,3,22,1
126,0,16.83,89554,21.01,2016,1,3,23,1
123,0,16.89,88800,13.78,2016,1,4,0,1
126,0,16.89,84543,9,2016,1,4,1,1
125,0,16.89,80236,6.5,2016,1,4,2,1
126,0,16.89,76289,5.55,2016,1,4,3,1
120,0,16.89,73490,5,2016,1,4,4,1
120,0,16.89,69466,8,2016,1,4,5,1
120,0,16.89,69359,19.11,2016,1,4,6,1
130,0,16.89,63972,31.44,2016,1,4,7,1
133,0,16.89,59698,38,2016,1,4,8,1
598,0,16.89,57913,40.66,2016,1,4,9,1
2083,0,16.89,55112,43,2016,1,4,10,1
3118,0,16.89,51864,42.08,2016,1,4,11,1
3734,0,16.89,55011,41.23,2016,1,4,12,1
4158,0,16.89,55839,41.48,2016,1,4,13,1
3903,0,16.89,55799,40.33,2016,1,4,14,1
3397,0,16.89,56370,38.8,2016,1,4,15,1
1991,0,16.89,56853,38,2016,1,4,16,1
907,0,16.89,57703,41.21,2016,1,4,17,1
171,0,16.89,61123,42.95,2016,1,4,18,1
159,0,16.89,63161,41.96,2016,1,4,19,1
156,0,16.89,64405,40.81,2016,1,4,20,1
136,0,16.89,65504,40.66,2016,1,4,21,1
132,0,16.89,68389,37.67,2016,1,4,22,1
